term,predicted_phonetic,expected_phonetic,similarity,status
LLM,eo eo em,eo eo em,1.0000,PASS
RAG,a e gi,a e gi,1.0000,PASS
VAD,vi e đi,vi e đi,1.0000,PASS
STT,ét ti ti,ét ti ti,1.0000,PASS
TTS,ti ti ét,ti ti ét,1.0000,PASS
MOP,em ô pi,em ô pi,1.0000,PASS
CamelCase,ca mơo cây,ca mơo cây,1.0000,PASS
Acronyms,ac rơ nim,ac rơ nim,1.0000,PASS
MacBook,mac buc,mac buc,1.0000,PASS
iPhone,ai phôn,ai phôn,1.0000,PASS
